                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6897,                  3.496,                 1.1263,                0.42505,                0.45845,                0.28345,                0.25545,                0.46835,                  3.879,                0.93784,              0.0001092,              0.0001092,              0.0001092
                      2,                0.55809,                 2.1586,                 1.0144,                0.51868,                0.46686,                0.39463,                0.32376,                0.61815,                 5.2588,                 1.1197,              0.0002009,              0.0002009,              0.0002009
                      3,                0.53615,                 1.7922,                0.99675,                0.46659,                0.51505,                0.48857,                0.40167,                0.66457,                 3.0374,                  1.097,              0.0002701,              0.0002701,              0.0002701
                      4,                  0.561,                 1.6408,                 0.9997,                0.71784,                0.45579,                0.47143,                0.37598,                0.73592,                 2.3578,                 1.1262,              0.0003168,              0.0003168,              0.0003168
                      5,                0.52368,                 1.2918,                 0.9671,                0.62073,                0.39436,                0.42422,                0.35754,                0.68082,                 2.2134,                 1.1158,             0.00027499,             0.00027499,             0.00027499
                      6,                0.52379,                  1.202,                 0.9678,                0.60989,                0.50567,                0.54533,                0.44517,                0.65823,                 1.6935,                 1.0872,             0.00027499,             0.00027499,             0.00027499
                      7,                 0.4889,                 1.0877,                0.95688,                0.62396,                0.51744,                0.56902,                0.49251,                 0.5673,                 1.5603,                0.97469,             0.00022999,             0.00022999,             0.00022999
                      8,                0.45619,                0.93186,                0.92193,                0.68325,                0.49524,                0.56679,                0.50228,                 0.5273,                 1.9095,                0.99634,             0.00018499,             0.00018499,             0.00018499
                      9,                 0.4243,                0.76776,                0.90969,                0.67464,                0.50207,                0.59695,                0.52509,                0.53079,                 1.7186,                0.97911,             0.00013999,             0.00013999,             0.00013999
                     10,                0.38481,                0.65837,                0.87265,                0.67183,                 0.5453,                0.61844,                0.54046,                0.57001,                 1.4688,                 1.0518,             9.4989e-05,             9.4989e-05,             9.4989e-05
